"Story","Title","Result","Date","Stability","Duration (s)"
"create user in pet shop","Validate user creation","FAILURE","2023-03-22T11:25:05.648-05:00[America/Bogota]","0.0","7.97"
"create user in pet shop","Place an order for a pet","FAILURE","2023-03-22T14:44:49.54-05:00[America/Bogota]","0.0","4.32"
